Index,title,year,rating,age_restr
224, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,12A
225, The Exorcist,1973,8.1,X
226, Jai Bhim,2021,8.7,Not Rated
227, Rush,2013,8.1,15
228, Network,1976,8.1,AA
229, The Wizard of Oz,1939,8.1,A
230, Stand by Me,1986,8.1,15
231, The Incredibles,2004,8.0,U
232, Hachi: A Dog's Tale,2009,8.1,U
233, My Father and My Son,2005,8.2,PG
234, The Handmaiden,2016,8.1,18
235, Into the Wild,2007,8.1,15
236, The Sound of Music,1965,8.1,U
237, To Be or Not to Be,1942,8.1,U
238, The Battle of Algiers,1966,8.1,X
239, The Grapes of Wrath,1940,8.1,PG
240, Groundhog Day,1993,8.0,PG
241, Amores perros,2000,8.1,18
242, Rebecca,1940,8.1,PG
243, The Iron Giant,1999,8.1,PG
244, Cool Hand Luke,1967,8.1,A
245, The Help,2011,8.1,12A
246, It Happened One Night,1934,8.1,A
247, Drishyam,2015,8.2,12A
248, Gangs of Wasseypur,2012,8.2,18
249, Dances with Wolves,1990,8.0,PG
250, Aladdin,1992,8.0,U
